Hypseus SDL2 Keycodes
---------------------
https://wiki.libsdl.org/SDLKeycodeLookup

Decimal Value	SDL_Keycode Constant
0	SDLK_UNKNOWN
8	SDLK_BACKSPACE
9	SDLK_TAB
13	SDLK_RETURN
27	SDLK_ESCAPE
32	SDLK_SPACE
33	SDLK_EXCLAIM
34	SDLK_QUOTEDBL
35	SDLK_HASH
36	SDLK_DOLLAR
37	SDLK_PERCENT
38	SDLK_AMPERSAND
39	SDLK_QUOTE
40	SDLK_LEFTPAREN
41	SDLK_RIGHTPAREN
42	SDLK_ASTERISK
43	SDLK_PLUS
44	SDLK_COMMA
45	SDLK_MINUS
46	SDLK_PERIOD
47	SDLK_SLASH
48	SDLK_0
49	SDLK_1
50	SDLK_2
51	SDLK_3
52	SDLK_4
53	SDLK_5
54	SDLK_6
55	SDLK_7
56	SDLK_8
57	SDLK_9
58	SDLK_COLON
59	SDLK_SEMICOLON
60	SDLK_LESS
61	SDLK_EQUALS
62	SDLK_GREATER
63	SDLK_QUESTION
64	SDLK_AT
91	SDLK_LEFTBRACKET
92	SDLK_BACKSLASH
93	SDLK_RIGHTBRACKET
94	SDLK_CARET
95	SDLK_UNDERSCORE
96	SDLK_BACKQUOTE
97	SDLK_a
98	SDLK_b
99	SDLK_c
100	SDLK_d
101	SDLK_e
102	SDLK_f
103	SDLK_g
104	SDLK_h
105	SDLK_i
106	SDLK_j
107	SDLK_k
108	SDLK_l
109	SDLK_m
110	SDLK_n
111	SDLK_o
112	SDLK_p
113	SDLK_q
114	SDLK_r
115	SDLK_s
116	SDLK_t
117	SDLK_u
118	SDLK_v
119	SDLK_w
120	SDLK_x
121	SDLK_y
122	SDLK_z
127	SDLK_DELETE
1073741881	SDLK_CAPSLOCK
1073741882	SDLK_F1
1073741883	SDLK_F2
1073741884	SDLK_F3
1073741885	SDLK_F4
1073741886	SDLK_F5
1073741887	SDLK_F6
1073741888	SDLK_F7
1073741889	SDLK_F8
1073741890	SDLK_F9
1073741891	SDLK_F10
1073741892	SDLK_F11
1073741893	SDLK_F12
1073741894	SDLK_PRINTSCREEN
1073741895	SDLK_SCROLLLOCK
1073741896	SDLK_PAUSE
1073741897	SDLK_INSERT
1073741898	SDLK_HOME
1073741899	SDLK_PAGEUP
1073741901	SDLK_END
1073741902	SDLK_PAGEDOWN
1073741903	SDLK_RIGHT
1073741904	SDLK_LEFT
1073741905	SDLK_DOWN
1073741906	SDLK_UP
1073741907	SDLK_NUMLOCKCLEAR
